## file created 24.Feb.2016 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4510580F   0   7   t    2      10          8              2      HE   -22    15      1
 45107011   0   7   b    2      11          1              0      HE   -28    17      1
 45207011   0   7   b    2      11          1              1      HE   -28    17      2
 45107411   0   7   b    2      11          1              2      HE   -29    17      1
 45307011   0   7   b    2      11          2              0      HE   -28    17      3
 45206011   0   7   b    2      11          2              1      HE   -24    17      2
 45106011   0   7   b    2      11          2              2      HE   -24    17      1
 45106C11   0   7   b    2      11          3              0      HE   -27    17      1
 45206C11   0   7   b    2      11          3              1      HE   -27    17      2
 45207411   0   7   b    2      11          3              2      HE   -29    17      2
 45306C11   0   7   b    2      11          4              0      HE   -27    17      3
 45205C11   0   7   b    2      11          4              1      HE   -23    17      2
 45105C11   0   7   b    2      11          4              2      HE   -23    17      1
 45204C12   0   7   b    2      11          5              0      HE   -19    18      2
 45105012   0   7   b    2      11          5              1      HE   -20    18      1
 45205811   0   7   b    2      11          5              2      HE   -22    17      2
 45104C12   0   7   b    2      11          6              0      HE   -19    18      1
 45205012   0   7   b    2      11          6              1      HE   -20    18      2
 45105811   0   7   b    2      11          6              2      HE   -22    17      1
 45204C11   0   7   b    2      11          7              0      HE   -19    17      2
 45105011   0   7   b    2      11          7              1      HE   -20    17      1
 45205411   0   7   b    2      11          7              2      HE   -21    17      2
 45104C11   0   7   b    2      11          8              0      HE   -19    17      1
 45205011   0   7   b    2      11          8              1      HE   -20    17      2
 45105411   0   7   b    2      11          8              2      HE   -21    17      1
 43182C0B   0  13   t    3       0          1              0      HB    11    11      1
 43181C0B   0  13   t    3       0          1              1      HB     7    11      1
 43180C0B   0  13   t    3       0          1              2      HB     3    11      1
 4318140B   0  13   t    3       0          2              0      HB     5    11      1
 4318040B   0  13   t    3       0          2              1      HB     1    11      1
 4318240B   0  13   t    3       0          2              2      HB     9    11      1
 43182C0C   0  13   t    3       0          3              0      HB    11    12      1
 43181C0C   0  13   t    3       0          3              1      HB     7    12      1
 43180C0C   0  13   t    3       0          3              2      HB     3    12      1
 4318140C   0  13   t    3       0          4              0      HB     5    12      1
 4318040C   0  13   t    3       0          4              1      HB     1    12      1
 4318240C   0  13   t    3       0          4              2      HB     9    12      1
 4318280B   0  13   t    3       0          5              0      HB    10    11      1
 4318180B   0  13   t    3       0          5              1      HB     6    11      1
 4318080B   0  13   t    3       0          5              2      HB     2    11      1
 4318200B   0  13   t    3       0          6              0      HB     8    11      1
 4318100B   0  13   t    3       0          6              1      HB     4    11      1
 4318300B   0  13   t    3       0          6              2      HB    12    11      1
 4318280C   0  13   t    3       0          7              0      HB    10    12      1
 4318180C   0  13   t    3       0          7              1      HB     6    12      1
 4318080C   0  13   t    3       0          7              2      HB     2    12      1
 4318200C   0  13   t    3       0          8              0      HB     8    12      1
 4318100C   0  13   t    3       0          8              1      HB     4    12      1
 4318300C   0  13   t    3       0          8              2      HB    12    12      1
 43182C0D   0  13   b    3       1          1              0      HB    11    13      1
 43181C0D   0  13   b    3       1          1              1      HB     7    13      1
 43180C0D   0  13   b    3       1          1              2      HB     3    13      1
 4318140D   0  13   b    3       1          2              0      HB     5    13      1
 4318040D   0  13   b    3       1          2              1      HB     1    13      1
 4318240D   0  13   b    3       1          2              2      HB     9    13      1
 43182C0E   0  13   b    3       1          3              0      HB    11    14      1
 43181C0E   0  13   b    3       1          3              1      HB     7    14      1
 43180C0E   0  13   b    3       1          3              2      HB     3    14      1
 4318140E   0  13   b    3       1          4              0      HB     5    14      1
 4318040E   0  13   b    3       1          4              1      HB     1    14      1
 4318240E   0  13   b    3       1          4              2      HB     9    14      1
 4318280D   0  13   b    3       1          5              0      HB    10    13      1
 4318180D   0  13   b    3       1          5              1      HB     6    13      1
 4318080D   0  13   b    3       1          5              2      HB     2    13      1
 4318200D   0  13   b    3       1          6              0      HB     8    13      1
 4318100D   0  13   b    3       1          6              1      HB     4    13      1
 4318300D   0  13   b    3       1          6              2      HB    12    13      1
 4318280E   0  13   b    3       1          7              0      HB    10    14      1
 4318180E   0  13   b    3       1          7              1      HB     6    14      1
 4318080E   0  13   b    3       1          7              2      HB     2    14      1
 4318200E   0  13   b    3       1          8              0      HB     8    14      1
 4318100E   0  13   b    3       1          8              1      HB     4    14      1
 4318300E   0  13   b    3       1          8              2      HB    12    14      1
 4328400B   0  14   t    3       2          1              0      HB    16    11      2
 43283C0B   0  14   t    3       2          1              1      HB    15    11      2
 4318380B   0  14   t    3       2          1              2      HB    14    11      1
 43183C0B   0  14   t    3       2          2              0      HB    15    11      1
 4318340B   0  14   t    3       2          2              1      HB    13    11      1
 4318400B   0  14   t    3       2          2              2      HB    16    11      1
 4328400C   0  14   t    3       2          3              0      HB    16    12      2
 43283C0C   0  14   t    3       2          3              1      HB    15    12      2
 4318380C   0  14   t    3       2          3              2      HB    14    12      1
 43183C0C   0  14   t    3       2          4              0      HB    15    12      1
 4318340C   0  14   t    3       2          4              1      HB    13    12      1
 4318400C   0  14   t    3       2          4              2      HB    16    12      1
 4518440B   0  14   t    3       2          5              0      HE    17    11      1
 4538400B   0  14   t    3       2          5              1      HE    16    11      3
 4518680B   0  14   t    3       2          5              2      HE    26    11      1
 4518480B   0  14   t    3       2          6              0      HE    18    11      1
 4528480B   0  14   t    3       2          6              1      HE    18    11      2
 4528680B   0  14   t    3       2          6              2      HE    26    11      2
 4518440C   0  14   t    3       2          7              0      HE    17    12      1
 4538400C   0  14   t    3       2          7              1      HE    16    12      3
 4518640B   0  14   t    3       2          7              2      HE    25    11      1
 4518480C   0  14   t    3       2          8              0      HE    18    12      1
